District,Town,County,Member,Party,Email,Phone,Committees
30,Abbot,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
144,Acton,York County,Jeffrey Sean Adams,R,Jeffrey.Adams@legislature.maine.gov,207-287-1400,State and Local Government (Member)
11,Addison,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
81,Albany Township,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
63,Albion,Kennebec County,Paul R. Flynn,R,Paul.Flynn@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
10,Alexander,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
136,Alfred,York County,John M. Eder,R,John.Eder@legislature.maine.gov,207-287-1400,Government Oversight Committee (Member); Housing and Economic Development (Member)
1,Allagash,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
47,Alna,Lincoln County,Wayne K. Farrin,D,Wayne.Farrin@legislature.maine.gov,207-287-1400,Marine Resources (Member); State and Local Government (Member)
27,Alton,Penobscot County,Gary A. Drinkwater,R,Gary.Drinkwater@legislature.maine.gov,207-287-1400,Labor (Ranking Member)
18,Amherst,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
8,Amity,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
73,Andover,Oxford County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
72,Anson,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
40,Appleton,Knox County,D. Michael Ray,D,Michael.Ray@legislature.maine.gov,207-287-1400,Transportation (Member)
27,Argyle Township,Penobscot County,Gary A. Drinkwater,R,Gary.Drinkwater@legislature.maine.gov,207-287-1400,Labor (Ranking Member)
49,Arrowsic,Sagadahoc County,Allison Hepler,D,Allison.Hepler@legislature.maine.gov,207-287-1400,"Marine Resources (Chair); Agriculture, Conservation and Forestry (Member)"
140,Arundel,York County,Wayne R. Parry,R,Wayne.Parry@legislature.maine.gov,207-287-1400,Transportation (Ranking Member)
1,Ashland,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
72,Athens,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
31,Atkinson,Piscataquis County,Chad R. Perkins,R,Chad.Perkins@legislature.maine.gov,207-287-1400,Government Oversight Committee (Ranking Member); Criminal Justice and Public Safety (Member)
73,Attean Township,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
89,Auburn (Part),Androscoggin County,Adam R. Lee,D,Adam.Lee@legislature.maine.gov,207-287-1400,Ethics (Chair); Government Oversight Committee (Member); Judiciary (Member)
88,Auburn (Part),Androscoggin County,Quentin J. Chapman,R,Quentin.Chapman@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
90,Auburn (Part),Androscoggin County,Laurel D. Libby,R,Laurel.Libby@legislature.maine.gov,207-287-1400,Labor (Member)
59,Augusta (Part),Kennebec County,David M. Rollins,D,David.Rollins@legislature.maine.gov,207-287-1400,State and Local Government (Member)
60,Augusta (Part),Kennebec County,William R. Bridgeo,D,William.Bridgeo@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Inland Fisheries and Wildlife (Member)
18,Aurora,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
74,Avon,Franklin County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
9,Baileyville,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
84,Baldwin,Cumberland County,Mark Walker,R,Mark.Walker@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
8,Bancroft Township,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
23,Bangor (Part),Penobscot County,Amy J. Roeder,D,Amy.Roeder@legislature.maine.gov,207-287-1400,Labor (Chair)
22,Bangor (Part),Penobscot County,Laura D. Supica,D,Laura.Supica@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Chair)
24,Bangor (Part),Penobscot County,Sean Faircloth,D,Sean.Faircloth@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
21,Bangor (Part),Penobscot County,Ambureen Rana,D,Ambureen.Rana@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
14,Bar Harbor,Hancock County,Gary Friedmann,D,Gary.Friedmann@legislature.maine.gov,207-287-1400,Taxation (Member)
9,Baring,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
50,Bath,Sagadahoc County,David A. Sinclair,D,david.sinclair@legislature.maine.gov,207-287-1400,Judiciary (Member)
11,Beals,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
30,Beaver Cove,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
18,Beddington,Washington County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
39,Belfast,Waldo County,Janice S. Dodge,D,Jan.Dodge@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member)
58,Belgrade,Kennebec County,Sharon C. Frost,U,Sharon.Frost@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Veterans and Legal Affairs (Member)"
39,Belmont,Waldo County,Janice S. Dodge,D,Jan.Dodge@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member)
8,Benedicta Township,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
67,Benton,Kennebec County,Shelley Rudnicki,R,Shelley.Rudnicki@legislature.maine.gov,207-287-1400,Taxation (Ranking Member)
148,Berwick,York County,Thomas A. Lavigne,R,Thomas.Lavigne@legislature.maine.gov,207-287-1400,Taxation (Member)
78,Bethel,Oxford County,Rachel A. Henderson,R,Rachel.Henderson@legislature.maine.gov,207-287-1400,Judiciary (Member)
133,Biddeford (Part),York County,Marc G. Malon II,D,Marc.Malon@legislature.maine.gov,207-287-1400,Bills in the Second Reading (Chair); Housing and Economic Development (Member); Veterans and Legal Affairs (Member)
134,Biddeford (Part),York County,Traci Gere,D,Traci.Gere@legislature.maine.gov,207-287-1400,Housing and Economic Development (Chair); Engrossed Bills (Member)
132,Biddeford (Part),York County,Ryan D. Fecteau,D,ryan.fecteau@legislature.maine.gov,207-287-1400,Joint Select Committee on Joint Rules (Member); Rules and Business of the House (Member)
72,Bingham,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
6,Blaine,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
30,Blanchard,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
16,Blue Hill,Hancock County,Nina Azella Milliken,D,Nina.Milliken@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Elections (Member)
48,Boothbay,Lincoln County,Holly B. Stover,D,Holly.Stover@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Ethics (Member); Government Oversight Committee (Member)
48,Boothbay Harbor,Lincoln County,Holly B. Stover,D,Holly.Stover@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Ethics (Member); Government Oversight Committee (Member)
52,Bowdoin (Part),Sagadahoc County,Sally Jeane Cluchey,D,Sally.Cluchey@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member); Inland Fisheries and Wildlife (Member)"
98,Bowdoin (Part),Sagadahoc County,Kilton M. Webb,D,Kilton.Webb@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member)"
52,Bowdoinham,Sagadahoc County,Sally Jeane Cluchey,D,Sally.Cluchey@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member); Inland Fisheries and Wildlife (Member)"
30,Bowerbank,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
73,Bowtown Township,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
32,Bradford (Part),Penobscot County,Steven D. Foster,R,Steven.Foster@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Ranking Member)"
27,Bradford (Part),Penobscot County,Gary A. Drinkwater,R,Gary.Drinkwater@legislature.maine.gov,207-287-1400,Labor (Ranking Member)
26,Bradley,Penobscot County,James F. Dill,D,James.Dill@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Elections (Member); Inland Fisheries and Wildlife (Member)"
45,Bremen,Lincoln County,Abden S. Simmons,R,Abden.Simmons@legislature.maine.gov,207-287-1400,Marine Resources (Member)
24,Brewer (Part),Penobscot County,Sean Faircloth,D,Sean.Faircloth@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
20,Brewer (Part),Penobscot County,Dani L. O'Halloran,D,Dani.OHalloran@legislature.maine.gov,207-287-1400,Judiciary (Member)
6,Bridgewater,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
83,Bridgton,Cumberland County,Marygrace Caroline Cimino,R,Marygrace.Cimino@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
30,Brighton,Somerset County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
46,Bristol,Lincoln County,Lydia V. Crafts,D,Lydia.Crafts@legislature.maine.gov,207-287-1400,Elections (Chair); Transportation (Chair)
15,Brooklin,Hancock County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
38,Brooks,Waldo County,Benjamin C. Hymes,R,Benjamin.Hymes@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
